,sales_id,customer_id,order_date,ship_date,ship_mode,ship_to,total
132,2289,75,2020-07-24,2020-07-25,First Class,209,50.09
133,6884,25,2020-07-25,2020-07-28,Second Class,466,569.07
134,5764,73,2020-07-26,2020-07-26,Same Day,552,2429.36
135,2308,129,2020-07-26,2020-07-27,First Class,590,201.96
136,6186,42,2020-07-27,2020-07-27,Same Day,611,1119.93
137,4361,91,2020-07-28,2020-08-03,Standard Class,445,258.37
138,7737,80,2020-07-28,2020-07-28,Same Day,618,291.55
139,6669,57,2020-07-29,2020-08-03,Standard Class,352,703.79
140,7723,71,2020-07-29,2020-08-03,Standard Class,199,464.99
141,3454,55,2020-07-29,2020-08-01,Second Class,298,3105.62
142,471,78,2020-07-30,2020-08-05,Standard Class,99,1662.32
143,2810,122,2020-08-05,2020-08-12,Standard Class,472,94.85
144,3649,106,2020-08-08,2020-08-11,Second Class,146,427.45
145,7297,45,2020-08-08,2020-08-12,Second Class,396,868.87
146,552,60,2020-08-10,2020-08-12,First Class,276,3863.29
147,4562,86,2020-08-12,2020-08-17,Standard Class,72,1757.52
148,5326,65,2020-08-12,2020-08-18,Standard Class,296,296.88
149,4368,2,2020-08-13,2020-08-13,Same Day,441,69.68
150,8741,90,2020-08-14,2020-08-15,First Class,584,273.74
151,1112,66,2020-08-14,2020-08-19,Standard Class,479,13.97
152,7730,88,2020-08-15,2020-08-16,First Class,558,4608.91
153,3849,124,2020-08-17,2020-08-20,Second Class,323,63.14
154,9968,6,2020-08-18,2020-08-24,Standard Class,281,1588.39
155,4460,25,2020-08-19,2020-08-20,First Class,145,247.82
156,5892,93,2020-08-19,2020-08-19,Same Day,271,811.31
157,8255,54,2020-08-19,2020-08-22,Second Class,35,780.43
158,2952,78,2020-08-19,2020-08-21,First Class,11,577.14
159,2188,145,2020-08-19,2020-08-19,Same Day,57,1508.72
160,9398,27,2020-08-20,2020-08-26,Standard Class,194,2591.8
161,9411,141,2020-08-20,2020-08-22,First Class,444,66.88
162,84,75,2020-08-21,2020-08-21,Same Day,120,6909.0
163,4814,12,2020-08-22,2020-08-22,Same Day,297,406.82
164,999,98,2020-08-22,2020-08-28,Standard Class,233,846.01
165,3841,108,2020-08-22,2020-08-23,First Class,606,670.98
166,3440,13,2020-08-23,2020-08-27,Second Class,335,208.34
167,4329,27,2020-08-24,2020-08-24,Same Day,563,80.0
168,5540,32,2020-08-25,2020-08-25,Same Day,488,3985.07
169,8228,112,2020-08-25,2020-08-28,Second Class,122,1032.78
170,2348,133,2020-08-25,2020-08-25,Same Day,426,621.56
171,8827,55,2020-08-26,2020-08-30,Second Class,188,1500.7
172,9347,89,2020-08-26,2020-08-31,Standard Class,515,121.81
173,5932,128,2020-08-26,2020-08-30,Second Class,463,89.9
174,9675,93,2020-08-26,2020-08-30,Second Class,467,65.99
175,468,23,2020-08-27,2020-08-27,Same Day,498,389.3
176,1998,134,2020-08-27,2020-08-28,First Class,537,673.65
177,4563,146,2020-08-27,2020-08-31,Second Class,20,167.94
178,1338,42,2020-08-28,2020-08-30,First Class,22,133.21
179,8357,132,2020-08-28,2020-09-01,Second Class,519,387.66
180,7473,150,2020-08-28,2020-08-28,Same Day,39,187.04
181,7087,112,2020-08-29,2020-08-29,Same Day,443,946.76
182,2822,51,2020-08-29,2020-09-02,Second Class,474,347.95
183,2917,86,2020-08-29,2020-08-31,First Class,520,1128.68
184,9263,125,2020-08-30,2020-09-02,Second Class,523,399.99
185,682,137,2020-08-30,2020-08-31,First Class,481,13.9
186,7058,92,2020-08-30,2020-08-30,Same Day,280,17.12
187,620,46,2020-08-30,2020-09-05,Standard Class,423,1270.99
188,9089,124,2020-08-30,2020-08-30,Same Day,359,2470.82
189,1264,136,2020-09-02,2020-09-05,Second Class,304,63.46
190,1270,1,2020-09-02,2020-09-07,Standard Class,384,237.21
191,9491,136,2020-09-04,2020-09-08,Second Class,388,872.08
192,4198,60,2020-09-05,2020-09-12,Standard Class,445,229.03
193,9678,44,2020-09-08,2020-09-10,First Class,375,3343.23
194,9829,42,2020-09-09,2020-09-10,First Class,27,1327.45
195,5395,154,2020-09-11,2020-09-12,First Class,150,87.5
196,9775,108,2020-09-12,2020-09-19,Standard Class,571,2544.8
197,868,3,2020-09-12,2020-09-12,Same Day,531,1606.28
198,9194,3,2020-09-12,2020-09-14,First Class,296,2309.8
199,5477,109,2020-09-14,2020-09-19,Standard Class,600,2197.63
200,690,87,2020-09-14,2020-09-18,Second Class,234,1465.41
201,4158,160,2020-09-15,2020-09-16,First Class,225,3003.8
202,8451,136,2020-09-15,2020-09-16,First Class,548,91.61
203,4896,145,2020-09-16,2020-09-16,Same Day,429,448.62
204,1317,117,2020-09-16,2020-09-18,First Class,577,2245.83
205,1174,144,2020-09-17,2020-09-17,Same Day,209,2432.89
206,6478,145,2020-09-17,2020-09-21,Second Class,206,194.88
207,2505,140,2020-09-17,2020-09-21,Second Class,102,373.95
208,281,119,2020-09-18,2020-09-25,Standard Class,74,2043.42
209,8062,74,2020-09-18,2020-09-18,Same Day,243,155.42
210,4503,153,2020-09-18,2020-09-23,Standard Class,429,961.04
211,3742,49,2020-09-19,2020-09-23,Second Class,428,442.99
212,1303,112,2020-09-19,2020-09-23,Second Class,16,5.76
213,1539,74,2020-09-19,2020-09-19,Same Day,59,750.75
214,6576,68,2020-09-19,2020-09-21,First Class,453,202.51
215,4628,124,2020-09-19,2020-09-25,Standard Class,131,11.13
216,4099,7,2020-09-20,2020-09-23,Second Class,37,915.9
217,5497,20,2020-09-20,2020-09-25,Standard Class,457,33.72
218,4302,114,2020-09-20,2020-09-21,First Class,407,9.4
219,4549,34,2020-09-21,2020-09-23,First Class,410,128.88
220,7643,141,2020-09-21,2020-09-24,Second Class,212,650.47
221,274,148,2020-09-21,2020-09-24,Second Class,34,1576.89
222,1012,127,2020-09-22,2020-09-25,Second Class,370,925.78
223,9,99,2020-09-22,2020-09-23,First Class,4,348.84
224,8647,157,2020-09-23,2020-09-27,Second Class,379,35.88
225,6789,91,2020-09-24,2020-09-29,Standard Class,421,2069.63
226,6656,85,2020-09-24,2020-09-24,Same Day,77,731.46
227,5616,107,2020-09-24,2020-09-28,Second Class,607,20.16
228,8221,72,2020-09-24,2020-09-29,Standard Class,295,47.92
229,8218,100,2020-09-24,2020-09-25,First Class,441,2268.97
230,3970,37,2020-09-25,2020-09-29,Second Class,264,890.27
231,4551,148,2020-09-25,2020-09-30,Standard Class,467,4430.88
232,4206,163,2020-09-25,2020-09-26,First Class,423,28.44
233,4421,63,2020-09-25,2020-09-25,Same Day,21,673.11
234,3516,99,2020-09-26,2020-10-03,Standard Class,279,25.1
235,2210,159,2020-09-27,2020-09-28,First Class,492,75.6
236,3431,48,2020-09-27,2020-09-27,Same Day,446,594.21
237,2123,112,2020-09-27,2020-10-01,Second Class,535,23.18
238,1665,69,2020-09-27,2020-09-27,Same Day,144,1943.2
239,7303,129,2020-09-27,2020-10-01,Second Class,538,2147.56
240,1100,167,2020-09-27,2020-09-28,First Class,363,883.76
241,9516,139,2020-09-28,2020-09-29,First Class,228,2011.31
242,8613,17,2020-09-28,2020-10-01,Second Class,248,97.23
243,2426,85,2020-09-30,2020-09-30,Same Day,156,200.46
244,1682,34,2020-09-30,2020-10-03,Second Class,375,225.54
245,3758,146,2020-09-30,2020-09-30,Same Day,447,542.94
246,2017,12,2020-09-30,2020-10-06,Standard Class,12,88.5
247,50,168,2020-09-30,2020-10-05,Standard Class,252,4108.18
248,8404,9,2020-09-30,2020-09-30,Same Day,196,181.53
249,737,150,2020-09-30,2020-10-04,Second Class,626,1464.79
250,2451,123,2020-10-04,2020-10-11,Standard Class,348,175.28
251,1657,153,2020-10-08,2020-10-11,Second Class,112,78.43
252,8812,140,2020-10-09,2020-10-13,Second Class,54,98.83
253,3103,154,2020-10-10,2020-10-14,Second Class,339,213.87
254,1579,107,2020-10-10,2020-10-14,Second Class,413,935.56
255,4185,25,2020-10-11,2020-10-11,Same Day,613,3585.71
256,9753,3,2020-10-12,2020-10-13,First Class,157,871.66
257,8947,154,2020-10-14,2020-10-18,Second Class,328,519.85
258,7481,4,2020-10-15,2020-10-22,Standard Class,4,671.41
259,2495,143,2020-10-16,2020-10-16,Same Day,609,1379.13
260,7507,71,2020-10-16,2020-10-17,First Class,424,103.85
261,8468,143,2020-10-16,2020-10-17,First Class,532,248.08
262,5176,86,2020-10-17,2020-10-20,Second Class,371,192.02
263,7311,94,2020-10-18,2020-10-19,First Class,179,889.7
264,5381,91,2020-10-18,2020-10-19,First Class,184,68.97
265,9938,104,2020-10-19,2020-10-21,First Class,224,310.5
266,1652,108,2020-10-19,2020-10-19,Same Day,526,25.55
267,3908,174,2020-10-19,2020-10-19,Same Day,488,2104.9
268,9224,31,2020-10-19,2020-10-19,Same Day,609,493.13
269,2875,139,2020-10-20,2020-10-21,First Class,292,1160.97
270,4926,180,2020-10-20,2020-10-20,Same Day,305,333.46
271,9448,172,2020-10-20,2020-10-24,Second Class,180,1345.46
272,3068,76,2020-10-20,2020-10-20,Same Day,36,93.94
273,2778,162,2020-10-21,2020-10-25,Second Class,151,6.23
274,8797,144,2020-10-21,2020-10-25,Second Class,297,179.36
275,8375,182,2020-10-21,2020-10-26,Standard Class,605,825.65
276,4946,125,2020-10-21,2020-10-26,Standard Class,13,182.22
277,4673,179,2020-10-21,2020-10-23,First Class,325,3.94
278,2389,140,2020-10-22,2020-10-25,Second Class,230,1430.39
279,9356,96,2020-10-22,2020-10-26,Second Class,289,425.78
280,3160,124,2020-10-23,2020-10-24,First Class,24,1335.17
281,1675,180,2020-10-23,2020-10-25,First Class,80,263.6
282,2213,124,2020-10-23,2020-10-27,Second Class,114,145.29
283,8308,184,2020-10-23,2020-10-24,First Class,215,20.16
284,1687,183,2020-10-24,2020-10-26,First Class,591,124.28
285,9054,54,2020-10-24,2020-10-29,Standard Class,592,53.72
286,2622,171,2020-10-24,2020-10-24,Same Day,19,11913.56
287,7070,14,2020-10-24,2020-10-24,Same Day,118,213.18
288,7183,97,2020-10-24,2020-10-24,Same Day,473,128.83
289,7088,100,2020-10-24,2020-10-28,Second Class,582,937.3
290,7577,75,2020-10-25,2020-10-27,First Class,494,941.2
291,5583,22,2020-10-25,2020-10-27,First Class,485,2131.55
292,9042,68,2020-10-26,2020-11-01,Standard Class,223,245.47
293,6109,181,2020-10-26,2020-10-27,First Class,606,587.71
294,783,166,2020-10-26,2020-11-01,Standard Class,483,939.91
295,5061,186,2020-10-26,2020-10-29,Second Class,99,554.9
296,2551,101,2020-10-26,2020-10-26,Same Day,265,2291.21
297,8834,104,2020-10-27,2020-10-27,Same Day,342,25.92
298,6422,183,2020-10-27,2020-10-29,First Class,283,59.97
299,8217,147,2020-10-27,2020-10-27,Same Day,143,1241.35
300,7221,71,2020-10-28,2020-10-30,First Class,295,206.12
301,9841,154,2020-10-28,2020-10-29,First Class,175,1434.3
302,214,173,2020-10-28,2020-10-31,Second Class,349,59.52
303,581,135,2020-10-28,2020-10-28,Same Day,539,62.94
304,3438,171,2020-10-28,2020-10-28,Same Day,84,158.07
305,363,156,2020-10-28,2020-10-28,Same Day,547,119.94
306,5826,99,2020-10-29,2020-11-02,Second Class,337,775.42
307,4433,131,2020-10-29,2020-10-29,Same Day,290,157.63
308,9613,141,2020-10-29,2020-11-04,Standard Class,232,111.24
309,9231,51,2020-10-29,2020-11-02,Second Class,537,6.48
310,9108,80,2020-10-29,2020-10-31,First Class,309,578.77
311,9333,62,2020-10-30,2020-11-02,Second Class,321,336.31
312,5732,121,2020-11-04,2020-11-07,Second Class,225,24.06
313,2565,173,2020-11-05,2020-11-05,Same Day,419,1241.87
314,5064,190,2020-11-05,2020-11-10,Standard Class,370,45.36
315,9586,187,2020-11-07,2020-11-14,Standard Class,225,1031.24
316,8840,192,2020-11-10,2020-11-17,Standard Class,433,159.72
317,5855,187,2020-11-10,2020-11-14,Second Class,86,331.36
318,5673,190,2020-11-10,2020-11-14,Second Class,423,87.73
319,1606,111,2020-11-10,2020-11-15,Standard Class,292,116.21
320,6609,127,2020-11-11,2020-11-16,Standard Class,228,28.91
321,871,195,2020-11-12,2020-11-15,Second Class,578,34.17
322,6505,143,2020-11-13,2020-11-13,Same Day,220,1589.89
323,9310,115,2020-11-13,2020-11-15,First Class,394,739.91
324,6907,51,2020-11-13,2020-11-15,First Class,372,955.6
325,365,161,2020-11-14,2020-11-15,First Class,210,3305.88
326,5596,161,2020-11-14,2020-11-14,Same Day,595,550.41
327,8829,83,2020-11-14,2020-11-14,Same Day,266,923.78
328,6915,82,2020-11-14,2020-11-14,Same Day,152,252.75
329,1002,105,2020-11-14,2020-11-21,Standard Class,84,73.62
330,2386,196,2020-11-14,2020-11-18,Second Class,483,1720.59
331,7081,157,2020-11-15,2020-11-17,First Class,429,1012.72
332,2114,160,2020-11-15,2020-11-19,Second Class,583,21.96
333,1034,111,2020-11-16,2020-11-20,Second Class,318,653.42
334,4789,25,2020-11-17,2020-11-24,Standard Class,233,3121.49
335,9075,9,2020-11-18,2020-11-24,Standard Class,130,2314.13
336,6759,161,2020-11-18,2020-11-20,First Class,13,216.6
337,2555,95,2020-11-18,2020-11-21,Second Class,477,731.2
338,2546,31,2020-11-18,2020-11-22,Second Class,239,2195.5
339,3515,60,2020-11-18,2020-11-18,Same Day,148,24.7
340,7931,92,2020-11-19,2020-11-19,Same Day,200,1013.31
341,9966,76,2020-11-19,2020-11-25,Standard Class,411,163.92
342,7156,82,2020-11-19,2020-11-24,Standard Class,219,709.25
343,6464,47,2020-11-20,2020-11-25,Standard Class,61,346.99
344,9388,149,2020-11-21,2020-11-22,First Class,162,287.17
345,3291,191,2020-11-21,2020-11-21,Same Day,303,2979.02
346,8489,193,2020-11-21,2020-11-21,Same Day,232,144.2
347,7857,62,2020-11-21,2020-11-21,Same Day,389,251.11
348,9990,181,2020-11-21,2020-11-25,Second Class,63,181.34
349,400,116,2020-11-22,2020-11-25,Second Class,117,43.72
350,2928,141,2020-11-22,2020-11-22,Same Day,348,1493.86
351,3780,197,2020-11-23,2020-11-28,Standard Class,144,93.31
352,4440,176,2020-11-24,2020-11-24,Same Day,173,32.34
353,9698,96,2020-11-24,2020-11-30,Standard Class,294,862.56
354,7710,86,2020-11-24,2020-11-27,Second Class,48,2563.07
355,2604,56,2020-11-24,2020-11-24,Same Day,438,571.94
356,7310,191,2020-11-24,2020-11-24,Same Day,106,101.32
357,3727,153,2020-11-24,2020-11-28,Second Class,507,441.56
358,5649,113,2020-11-24,2020-11-30,Standard Class,445,300.19
359,4901,197,2020-11-25,2020-11-30,Standard Class,213,85.56
360,7236,131,2020-11-25,2020-12-01,Standard Class,6,558.28
361,6118,94,2020-11-25,2020-11-30,Standard Class,279,1641.46
362,2808,66,2020-11-25,2020-11-27,First Class,586,99.86
363,8066,35,2020-11-25,2020-11-29,Second Class,33,76.28
364,7704,73,2020-11-26,2020-11-26,Same Day,455,1878.51
365,867,122,2020-11-26,2020-11-27,First Class,142,17781.44
366,7085,200,2020-11-26,2020-11-26,Same Day,423,4083.65
367,6295,156,2020-11-26,2020-11-26,Same Day,476,10.31
368,7943,150,2020-11-26,2020-11-26,Same Day,160,38.88
369,8861,197,2020-11-26,2020-11-28,First Class,170,190.9
370,8887,172,2020-11-27,2020-12-02,Standard Class,394,250.79
371,9471,102,2020-11-27,2020-11-28,First Class,150,85.78
372,4427,165,2020-11-27,2020-11-30,Second Class,594,266.9
373,5760,116,2020-11-27,2020-12-01,Second Class,220,324.97
374,1684,60,2020-11-27,2020-11-27,Same Day,145,1186.4
375,5913,143,2020-11-28,2020-11-28,Same Day,282,214.37
376,4372,26,2020-11-28,2020-12-04,Standard Class,181,835.71
377,3639,174,2020-11-28,2020-12-05,Standard Class,353,349.61
378,1620,183,2020-11-28,2020-12-03,Standard Class,478,15.7
379,9618,194,2020-11-28,2020-11-30,First Class,602,2036.77
380,4063,187,2020-11-28,2020-12-03,Standard Class,612,181.9
381,3664,169,2020-11-28,2020-11-28,Same Day,254,29.9
382,6311,58,2020-11-28,2020-11-28,Same Day,403,79.92
383,9283,86,2020-11-29,2020-12-04,Standard Class,15,155.22
384,7883,132,2020-11-29,2020-11-29,Same Day,244,123.34
385,2766,180,2020-11-29,2020-12-01,First Class,31,1133.06
386,194,133,2020-11-29,2020-12-06,Standard Class,452,84.48
387,9459,125,2020-11-29,2020-11-30,First Class,249,1039.74
388,7669,168,2020-11-29,2020-11-29,Same Day,525,406.18
389,3591,160,2020-11-29,2020-11-29,Same Day,432,1319.8
390,3728,200,2020-11-30,2020-11-30,Same Day,505,11.92
391,6235,183,2020-11-30,2020-12-06,Standard Class,27,755.0
392,5999,11,2020-11-30,2020-11-30,Same Day,427,820.07
393,1767,178,2020-11-30,2020-12-06,Standard Class,489,2163.65
394,7011,189,2020-11-30,2020-12-04,Second Class,301,242.23
395,2074,194,2020-11-30,2020-12-01,First Class,150,24363.67
396,4952,167,2020-11-30,2020-12-02,First Class,29,79.96
397,2,84,2020-12-03,2020-12-08,Standard Class,315,78.91
398,362,123,2020-12-04,2020-12-05,First Class,86,35.88
399,8005,173,2020-12-06,2020-12-12,Standard Class,112,31.96
400,9699,60,2020-12-06,2020-12-06,Same Day,185,614.43
401,9434,171,2020-12-06,2020-12-09,Second Class,32,159.27
402,4500,122,2020-12-08,2020-12-12,Second Class,60,429.52
403,4499,104,2020-12-08,2020-12-08,Same Day,252,863.3
404,9609,188,2020-12-08,2020-12-08,Same Day,282,12.53
405,5422,202,2020-12-09,2020-12-11,First Class,499,10135.97
406,3972,63,2020-12-09,2020-12-13,Second Class,511,2131.3
407,815,22,2020-12-09,2020-12-11,First Class,318,142.32
408,6405,193,2020-12-10,2020-12-11,First Class,13,334.75
409,7801,87,2020-12-11,2020-12-11,Same Day,459,135.72
410,3229,203,2020-12-11,2020-12-15,Second Class,382,1196.31
411,391,203,2020-12-11,2020-12-11,Same Day,375,475.29
412,5842,194,2020-12-11,2020-12-11,Same Day,523,336.08
413,39,203,2020-12-12,2020-12-16,Second Class,456,17.9
414,9372,122,2020-12-12,2020-12-16,Second Class,537,348.78
415,9259,19,2020-12-12,2020-12-13,First Class,451,84.32
416,4453,158,2020-12-12,2020-12-14,First Class,239,749.9
417,2633,26,2020-12-12,2020-12-19,Standard Class,417,73.24
418,8807,157,2020-12-13,2020-12-20,Standard Class,541,5.34
419,1784,201,2020-12-13,2020-12-16,Second Class,195,363.9
420,2121,194,2020-12-13,2020-12-20,Standard Class,391,39.6
421,1125,203,2020-12-13,2020-12-15,First Class,347,118.04
422,5907,156,2020-12-13,2020-12-14,First Class,401,479.94
423,1023,19,2020-12-13,2020-12-13,Same Day,279,475.83
424,981,191,2020-12-14,2020-12-14,Same Day,109,1382.81
425,6919,189,2020-12-14,2020-12-18,Second Class,253,496.86
426,4176,112,2020-12-14,2020-12-14,Same Day,485,62.18
427,7048,44,2020-12-14,2020-12-14,Same Day,195,192.91
428,5685,143,2020-12-15,2020-12-22,Standard Class,441,116.41
429,630,162,2020-12-16,2020-12-17,First Class,98,2350.67
430,6182,189,2020-12-16,2020-12-21,Standard Class,535,231.2
431,5016,196,2020-12-16,2020-12-18,First Class,476,853.59
432,2965,180,2020-12-17,2020-12-21,Second Class,146,77.46
