time_key,day_of_month,week_of_month,month,year,quarter_of_year,date
20200726,26,4,7,2020,3,2020-07-26
20200727,27,4,7,2020,3,2020-07-27
20200728,28,4,7,2020,3,2020-07-28
20200729,29,5,7,2020,3,2020-07-29
20200730,30,5,7,2020,3,2020-07-30
20200731,31,5,7,2020,3,2020-07-31
20200801,1,1,8,2020,3,2020-08-01
20200802,2,1,8,2020,3,2020-08-02
20200803,3,1,8,2020,3,2020-08-03
20200804,4,1,8,2020,3,2020-08-04
20200805,5,1,8,2020,3,2020-08-05
20200806,6,1,8,2020,3,2020-08-06
20200807,7,1,8,2020,3,2020-08-07
20200808,8,2,8,2020,3,2020-08-08
20200809,9,2,8,2020,3,2020-08-09
20200810,10,2,8,2020,3,2020-08-10
20200811,11,2,8,2020,3,2020-08-11
20200812,12,2,8,2020,3,2020-08-12
20200813,13,2,8,2020,3,2020-08-13
20200814,14,2,8,2020,3,2020-08-14
20200815,15,3,8,2020,3,2020-08-15
20200816,16,3,8,2020,3,2020-08-16
20200817,17,3,8,2020,3,2020-08-17
20200818,18,3,8,2020,3,2020-08-18
20200819,19,3,8,2020,3,2020-08-19
20200820,20,3,8,2020,3,2020-08-20
20200821,21,3,8,2020,3,2020-08-21
20200822,22,4,8,2020,3,2020-08-22
20200823,23,4,8,2020,3,2020-08-23
20200824,24,4,8,2020,3,2020-08-24
20200825,25,4,8,2020,3,2020-08-25
20200826,26,4,8,2020,3,2020-08-26
20200827,27,4,8,2020,3,2020-08-27
20200828,28,4,8,2020,3,2020-08-28
20200829,29,5,8,2020,3,2020-08-29
20200830,30,5,8,2020,3,2020-08-30
20200831,31,5,8,2020,3,2020-08-31
20200901,1,1,9,2020,3,2020-09-01
20200902,2,1,9,2020,3,2020-09-02
20200903,3,1,9,2020,3,2020-09-03
20200904,4,1,9,2020,3,2020-09-04
20200905,5,1,9,2020,3,2020-09-05
20200906,6,1,9,2020,3,2020-09-06
20200907,7,1,9,2020,3,2020-09-07
20200908,8,2,9,2020,3,2020-09-08
20200909,9,2,9,2020,3,2020-09-09
20200910,10,2,9,2020,3,2020-09-10
20200911,11,2,9,2020,3,2020-09-11
20200912,12,2,9,2020,3,2020-09-12
20200913,13,2,9,2020,3,2020-09-13
20200914,14,2,9,2020,3,2020-09-14
20200915,15,3,9,2020,3,2020-09-15
20200916,16,3,9,2020,3,2020-09-16
20200917,17,3,9,2020,3,2020-09-17
20200918,18,3,9,2020,3,2020-09-18
20200919,19,3,9,2020,3,2020-09-19
20200920,20,3,9,2020,3,2020-09-20
20200921,21,3,9,2020,3,2020-09-21
20200922,22,4,9,2020,3,2020-09-22
20200923,23,4,9,2020,3,2020-09-23
20200924,24,4,9,2020,3,2020-09-24
20200925,25,4,9,2020,3,2020-09-25
20200926,26,4,9,2020,3,2020-09-26
20200927,27,4,9,2020,3,2020-09-27
20200928,28,4,9,2020,3,2020-09-28
20200929,29,5,9,2020,3,2020-09-29
20200930,30,5,9,2020,3,2020-09-30
20201001,1,1,10,2020,4,2020-10-01
20201002,2,1,10,2020,4,2020-10-02
20201003,3,1,10,2020,4,2020-10-03
20201004,4,1,10,2020,4,2020-10-04
20201005,5,1,10,2020,4,2020-10-05
20201006,6,1,10,2020,4,2020-10-06
20201007,7,1,10,2020,4,2020-10-07
20201008,8,2,10,2020,4,2020-10-08
20201009,9,2,10,2020,4,2020-10-09
20201010,10,2,10,2020,4,2020-10-10
20201011,11,2,10,2020,4,2020-10-11
20201012,12,2,10,2020,4,2020-10-12
20201013,13,2,10,2020,4,2020-10-13
20201014,14,2,10,2020,4,2020-10-14
20201015,15,3,10,2020,4,2020-10-15
20201016,16,3,10,2020,4,2020-10-16
20201017,17,3,10,2020,4,2020-10-17
20201018,18,3,10,2020,4,2020-10-18
20201019,19,3,10,2020,4,2020-10-19
20201020,20,3,10,2020,4,2020-10-20
20201021,21,3,10,2020,4,2020-10-21
20201022,22,4,10,2020,4,2020-10-22
20201023,23,4,10,2020,4,2020-10-23
20201024,24,4,10,2020,4,2020-10-24
20201025,25,4,10,2020,4,2020-10-25
20201026,26,4,10,2020,4,2020-10-26
20201027,27,4,10,2020,4,2020-10-27
20201028,28,4,10,2020,4,2020-10-28
20201029,29,5,10,2020,4,2020-10-29
20201030,30,5,10,2020,4,2020-10-30
20201031,31,5,10,2020,4,2020-10-31
20201101,1,1,11,2020,4,2020-11-01
20201102,2,1,11,2020,4,2020-11-02
20201103,3,1,11,2020,4,2020-11-03
20201104,4,1,11,2020,4,2020-11-04
20201105,5,1,11,2020,4,2020-11-05
20201106,6,1,11,2020,4,2020-11-06
20201107,7,1,11,2020,4,2020-11-07
20201108,8,2,11,2020,4,2020-11-08
20201109,9,2,11,2020,4,2020-11-09
20201110,10,2,11,2020,4,2020-11-10
20201111,11,2,11,2020,4,2020-11-11
20201112,12,2,11,2020,4,2020-11-12
20201113,13,2,11,2020,4,2020-11-13
20201114,14,2,11,2020,4,2020-11-14
20201115,15,3,11,2020,4,2020-11-15
20201116,16,3,11,2020,4,2020-11-16
20201117,17,3,11,2020,4,2020-11-17
20201118,18,3,11,2020,4,2020-11-18
20201119,19,3,11,2020,4,2020-11-19
20201120,20,3,11,2020,4,2020-11-20
20201121,21,3,11,2020,4,2020-11-21
20201122,22,4,11,2020,4,2020-11-22
20201123,23,4,11,2020,4,2020-11-23
20201124,24,4,11,2020,4,2020-11-24
20201125,25,4,11,2020,4,2020-11-25
20201126,26,4,11,2020,4,2020-11-26
20201127,27,4,11,2020,4,2020-11-27
20201128,28,4,11,2020,4,2020-11-28
20201129,29,5,11,2020,4,2020-11-29
20201130,30,5,11,2020,4,2020-11-30
20201201,1,1,12,2020,4,2020-12-01
20201202,2,1,12,2020,4,2020-12-02
20201203,3,1,12,2020,4,2020-12-03
20201204,4,1,12,2020,4,2020-12-04
20201205,5,1,12,2020,4,2020-12-05
20201206,6,1,12,2020,4,2020-12-06
20201207,7,1,12,2020,4,2020-12-07
20201208,8,2,12,2020,4,2020-12-08
20201209,9,2,12,2020,4,2020-12-09
20201210,10,2,12,2020,4,2020-12-10
20201211,11,2,12,2020,4,2020-12-11
20201212,12,2,12,2020,4,2020-12-12
20201213,13,2,12,2020,4,2020-12-13
20201214,14,2,12,2020,4,2020-12-14
20201215,15,3,12,2020,4,2020-12-15
20201216,16,3,12,2020,4,2020-12-16
20201217,17,3,12,2020,4,2020-12-17
20201218,18,3,12,2020,4,2020-12-18
20201219,19,3,12,2020,4,2020-12-19
20201220,20,3,12,2020,4,2020-12-20
20201221,21,3,12,2020,4,2020-12-21
20201222,22,4,12,2020,4,2020-12-22
20201223,23,4,12,2020,4,2020-12-23
20201224,24,4,12,2020,4,2020-12-24
20201225,25,4,12,2020,4,2020-12-25
20201226,26,4,12,2020,4,2020-12-26
20201227,27,4,12,2020,4,2020-12-27
20201228,28,4,12,2020,4,2020-12-28
20201229,29,5,12,2020,4,2020-12-29
20201230,30,5,12,2020,4,2020-12-30
20201231,31,5,12,2020,4,2020-12-31
20210101,1,1,1,2021,1,2021-01-01
20210102,2,1,1,2021,1,2021-01-02
20210103,3,1,1,2021,1,2021-01-03
20210104,4,1,1,2021,1,2021-01-04
20210105,5,1,1,2021,1,2021-01-05
20210106,6,1,1,2021,1,2021-01-06
20210107,7,1,1,2021,1,2021-01-07
20210108,8,2,1,2021,1,2021-01-08
20210109,9,2,1,2021,1,2021-01-09
20210110,10,2,1,2021,1,2021-01-10
20210111,11,2,1,2021,1,2021-01-11
20210112,12,2,1,2021,1,2021-01-12
20210113,13,2,1,2021,1,2021-01-13
20210114,14,2,1,2021,1,2021-01-14
20210115,15,3,1,2021,1,2021-01-15
20210116,16,3,1,2021,1,2021-01-16
20210117,17,3,1,2021,1,2021-01-17
20210118,18,3,1,2021,1,2021-01-18
20210119,19,3,1,2021,1,2021-01-19
20210120,20,3,1,2021,1,2021-01-20
20210121,21,3,1,2021,1,2021-01-21
20210122,22,4,1,2021,1,2021-01-22
20210123,23,4,1,2021,1,2021-01-23
20210124,24,4,1,2021,1,2021-01-24
20210125,25,4,1,2021,1,2021-01-25
20210126,26,4,1,2021,1,2021-01-26
20210127,27,4,1,2021,1,2021-01-27
20210128,28,4,1,2021,1,2021-01-28
20210129,29,5,1,2021,1,2021-01-29
20210130,30,5,1,2021,1,2021-01-30
20210131,31,5,1,2021,1,2021-01-31
20210201,1,1,2,2021,1,2021-02-01
20210202,2,1,2,2021,1,2021-02-02
20210203,3,1,2,2021,1,2021-02-03
20210204,4,1,2,2021,1,2021-02-04
20210205,5,1,2,2021,1,2021-02-05
20210206,6,1,2,2021,1,2021-02-06
20210207,7,1,2,2021,1,2021-02-07
20210208,8,2,2,2021,1,2021-02-08
20210209,9,2,2,2021,1,2021-02-09
20210210,10,2,2,2021,1,2021-02-10
20210211,11,2,2,2021,1,2021-02-11
20210212,12,2,2,2021,1,2021-02-12
20210213,13,2,2,2021,1,2021-02-13
20210214,14,2,2,2021,1,2021-02-14
20210215,15,3,2,2021,1,2021-02-15
20210216,16,3,2,2021,1,2021-02-16
20210217,17,3,2,2021,1,2021-02-17
20210218,18,3,2,2021,1,2021-02-18
20210219,19,3,2,2021,1,2021-02-19
20210220,20,3,2,2021,1,2021-02-20
20210221,21,3,2,2021,1,2021-02-21
20210222,22,4,2,2021,1,2021-02-22
20210223,23,4,2,2021,1,2021-02-23
20210224,24,4,2,2021,1,2021-02-24
20210225,25,4,2,2021,1,2021-02-25
20210226,26,4,2,2021,1,2021-02-26
20210227,27,4,2,2021,1,2021-02-27
20210228,28,4,2,2021,1,2021-02-28
20210301,1,1,3,2021,1,2021-03-01
20210302,2,1,3,2021,1,2021-03-02
20210303,3,1,3,2021,1,2021-03-03
20210304,4,1,3,2021,1,2021-03-04
20210305,5,1,3,2021,1,2021-03-05
20210306,6,1,3,2021,1,2021-03-06
20210307,7,1,3,2021,1,2021-03-07
20210308,8,2,3,2021,1,2021-03-08
20210309,9,2,3,2021,1,2021-03-09
20210310,10,2,3,2021,1,2021-03-10
20210311,11,2,3,2021,1,2021-03-11
20210312,12,2,3,2021,1,2021-03-12
20210313,13,2,3,2021,1,2021-03-13
20210314,14,2,3,2021,1,2021-03-14
20210315,15,3,3,2021,1,2021-03-15
20210316,16,3,3,2021,1,2021-03-16
20210317,17,3,3,2021,1,2021-03-17
20210318,18,3,3,2021,1,2021-03-18
20210319,19,3,3,2021,1,2021-03-19
20210320,20,3,3,2021,1,2021-03-20
20210321,21,3,3,2021,1,2021-03-21
20210322,22,4,3,2021,1,2021-03-22
20210323,23,4,3,2021,1,2021-03-23
20210324,24,4,3,2021,1,2021-03-24
20210325,25,4,3,2021,1,2021-03-25
20210326,26,4,3,2021,1,2021-03-26
20210327,27,4,3,2021,1,2021-03-27
20210328,28,4,3,2021,1,2021-03-28
20210329,29,5,3,2021,1,2021-03-29
20210330,30,5,3,2021,1,2021-03-30
20210331,31,5,3,2021,1,2021-03-31
20210401,1,1,4,2021,2,2021-04-01
20210402,2,1,4,2021,2,2021-04-02
20210403,3,1,4,2021,2,2021-04-03
20210404,4,1,4,2021,2,2021-04-04
20210405,5,1,4,2021,2,2021-04-05
20210406,6,1,4,2021,2,2021-04-06
20210407,7,1,4,2021,2,2021-04-07
20210408,8,2,4,2021,2,2021-04-08
20210409,9,2,4,2021,2,2021-04-09
20210410,10,2,4,2021,2,2021-04-10
20210411,11,2,4,2021,2,2021-04-11
20210412,12,2,4,2021,2,2021-04-12
20210413,13,2,4,2021,2,2021-04-13
20210414,14,2,4,2021,2,2021-04-14
20210415,15,3,4,2021,2,2021-04-15
20210416,16,3,4,2021,2,2021-04-16
20210417,17,3,4,2021,2,2021-04-17
20210418,18,3,4,2021,2,2021-04-18
20210419,19,3,4,2021,2,2021-04-19
20210420,20,3,4,2021,2,2021-04-20
20210421,21,3,4,2021,2,2021-04-21
20210422,22,4,4,2021,2,2021-04-22
20210423,23,4,4,2021,2,2021-04-23
20210424,24,4,4,2021,2,2021-04-24
20210425,25,4,4,2021,2,2021-04-25
20210426,26,4,4,2021,2,2021-04-26
20210427,27,4,4,2021,2,2021-04-27
20210428,28,4,4,2021,2,2021-04-28
20210429,29,5,4,2021,2,2021-04-29
20210430,30,5,4,2021,2,2021-04-30
20210501,1,1,5,2021,2,2021-05-01
20210502,2,1,5,2021,2,2021-05-02
20210503,3,1,5,2021,2,2021-05-03
20210504,4,1,5,2021,2,2021-05-04
20210505,5,1,5,2021,2,2021-05-05
20210506,6,1,5,2021,2,2021-05-06
20210507,7,1,5,2021,2,2021-05-07
20210508,8,2,5,2021,2,2021-05-08
20210509,9,2,5,2021,2,2021-05-09
20210510,10,2,5,2021,2,2021-05-10
20210511,11,2,5,2021,2,2021-05-11
20210512,12,2,5,2021,2,2021-05-12
20210513,13,2,5,2021,2,2021-05-13
20210514,14,2,5,2021,2,2021-05-14
20210515,15,3,5,2021,2,2021-05-15
20210516,16,3,5,2021,2,2021-05-16
20210517,17,3,5,2021,2,2021-05-17
20210518,18,3,5,2021,2,2021-05-18
20210519,19,3,5,2021,2,2021-05-19
20210520,20,3,5,2021,2,2021-05-20
20210521,21,3,5,2021,2,2021-05-21
20210522,22,4,5,2021,2,2021-05-22
20210523,23,4,5,2021,2,2021-05-23
20210524,24,4,5,2021,2,2021-05-24
20210525,25,4,5,2021,2,2021-05-25
20210526,26,4,5,2021,2,2021-05-26
20210527,27,4,5,2021,2,2021-05-27
20210528,28,4,5,2021,2,2021-05-28
20210529,29,5,5,2021,2,2021-05-29
20210530,30,5,5,2021,2,2021-05-30
20210531,31,5,5,2021,2,2021-05-31
20210601,1,1,6,2021,2,2021-06-01
20210602,2,1,6,2021,2,2021-06-02
20210603,3,1,6,2021,2,2021-06-03
20210604,4,1,6,2021,2,2021-06-04
20210605,5,1,6,2021,2,2021-06-05
20210606,6,1,6,2021,2,2021-06-06
20210607,7,1,6,2021,2,2021-06-07
20210608,8,2,6,2021,2,2021-06-08
20210609,9,2,6,2021,2,2021-06-09
20210610,10,2,6,2021,2,2021-06-10
20210611,11,2,6,2021,2,2021-06-11
20210612,12,2,6,2021,2,2021-06-12
20210613,13,2,6,2021,2,2021-06-13
20210614,14,2,6,2021,2,2021-06-14
20210615,15,3,6,2021,2,2021-06-15
20210616,16,3,6,2021,2,2021-06-16
20210617,17,3,6,2021,2,2021-06-17
20210618,18,3,6,2021,2,2021-06-18
20210619,19,3,6,2021,2,2021-06-19
20210620,20,3,6,2021,2,2021-06-20
20210621,21,3,6,2021,2,2021-06-21
20210622,22,4,6,2021,2,2021-06-22
20210623,23,4,6,2021,2,2021-06-23
20210624,24,4,6,2021,2,2021-06-24
20210625,25,4,6,2021,2,2021-06-25
20210626,26,4,6,2021,2,2021-06-26
20210627,27,4,6,2021,2,2021-06-27
20210628,28,4,6,2021,2,2021-06-28
20210629,29,5,6,2021,2,2021-06-29
20210630,30,5,6,2021,2,2021-06-30
20210701,1,1,7,2021,3,2021-07-01
20210702,2,1,7,2021,3,2021-07-02
20210703,3,1,7,2021,3,2021-07-03
20210704,4,1,7,2021,3,2021-07-04
20210705,5,1,7,2021,3,2021-07-05
20210706,6,1,7,2021,3,2021-07-06
20210707,7,1,7,2021,3,2021-07-07
20210708,8,2,7,2021,3,2021-07-08
20210709,9,2,7,2021,3,2021-07-09
20210710,10,2,7,2021,3,2021-07-10
20210711,11,2,7,2021,3,2021-07-11
20210712,12,2,7,2021,3,2021-07-12
20210713,13,2,7,2021,3,2021-07-13
20210714,14,2,7,2021,3,2021-07-14
20210715,15,3,7,2021,3,2021-07-15
20210716,16,3,7,2021,3,2021-07-16
20210717,17,3,7,2021,3,2021-07-17
20210718,18,3,7,2021,3,2021-07-18
20210719,19,3,7,2021,3,2021-07-19
20210720,20,3,7,2021,3,2021-07-20
20210721,21,3,7,2021,3,2021-07-21
20210722,22,4,7,2021,3,2021-07-22
20210723,23,4,7,2021,3,2021-07-23
20210724,24,4,7,2021,3,2021-07-24
20210725,25,4,7,2021,3,2021-07-25
20210726,26,4,7,2021,3,2021-07-26
20210727,27,4,7,2021,3,2021-07-27
20210728,28,4,7,2021,3,2021-07-28
20210729,29,5,7,2021,3,2021-07-29
20210730,30,5,7,2021,3,2021-07-30
20210731,31,5,7,2021,3,2021-07-31
20210801,1,1,8,2021,3,2021-08-01
20210802,2,1,8,2021,3,2021-08-02
20210803,3,1,8,2021,3,2021-08-03
20210804,4,1,8,2021,3,2021-08-04
20210805,5,1,8,2021,3,2021-08-05
20210806,6,1,8,2021,3,2021-08-06
20210807,7,1,8,2021,3,2021-08-07
20210808,8,2,8,2021,3,2021-08-08
20210809,9,2,8,2021,3,2021-08-09
20210810,10,2,8,2021,3,2021-08-10
20210811,11,2,8,2021,3,2021-08-11
20210812,12,2,8,2021,3,2021-08-12
20210813,13,2,8,2021,3,2021-08-13
20210814,14,2,8,2021,3,2021-08-14
20210815,15,3,8,2021,3,2021-08-15
20210816,16,3,8,2021,3,2021-08-16
20210817,17,3,8,2021,3,2021-08-17
20210818,18,3,8,2021,3,2021-08-18
20210819,19,3,8,2021,3,2021-08-19
20210820,20,3,8,2021,3,2021-08-20
20210821,21,3,8,2021,3,2021-08-21
20210822,22,4,8,2021,3,2021-08-22
20210823,23,4,8,2021,3,2021-08-23
20210824,24,4,8,2021,3,2021-08-24
20210825,25,4,8,2021,3,2021-08-25
20210826,26,4,8,2021,3,2021-08-26
20210827,27,4,8,2021,3,2021-08-27
20210828,28,4,8,2021,3,2021-08-28
20210829,29,5,8,2021,3,2021-08-29
20210830,30,5,8,2021,3,2021-08-30
20210831,31,5,8,2021,3,2021-08-31
20210901,1,1,9,2021,3,2021-09-01
20210902,2,1,9,2021,3,2021-09-02
20210903,3,1,9,2021,3,2021-09-03
20210904,4,1,9,2021,3,2021-09-04
20210905,5,1,9,2021,3,2021-09-05
20210906,6,1,9,2021,3,2021-09-06
20210907,7,1,9,2021,3,2021-09-07
20210908,8,2,9,2021,3,2021-09-08
20210909,9,2,9,2021,3,2021-09-09
20210910,10,2,9,2021,3,2021-09-10
20210911,11,2,9,2021,3,2021-09-11
20210912,12,2,9,2021,3,2021-09-12
20210913,13,2,9,2021,3,2021-09-13
20210914,14,2,9,2021,3,2021-09-14
20210915,15,3,9,2021,3,2021-09-15
20210916,16,3,9,2021,3,2021-09-16
20210917,17,3,9,2021,3,2021-09-17
20210918,18,3,9,2021,3,2021-09-18
20210919,19,3,9,2021,3,2021-09-19
20210920,20,3,9,2021,3,2021-09-20
20210921,21,3,9,2021,3,2021-09-21
20210922,22,4,9,2021,3,2021-09-22
20210923,23,4,9,2021,3,2021-09-23
20210924,24,4,9,2021,3,2021-09-24
20210925,25,4,9,2021,3,2021-09-25
20210926,26,4,9,2021,3,2021-09-26
20210927,27,4,9,2021,3,2021-09-27
20210928,28,4,9,2021,3,2021-09-28
20210929,29,5,9,2021,3,2021-09-29
20210930,30,5,9,2021,3,2021-09-30
20211001,1,1,10,2021,4,2021-10-01
20211002,2,1,10,2021,4,2021-10-02
